INFO:root:Namespace(accumulate=None, batch_size=32, bert_dataset='wiki_cn_cased', bert_model='bert_12_768_12', dev_batch_size=8, dtype='float32', epochs=3, epsilon=1e-06, gpu=None, log_interval=10, lr=2e-05, max_len=128, model_parameters=None, only_inference=False, optimizer='bertadam', output_dir='./output_dir', pad=False, pretrained_bert_parameters=None, seed=3, task_name='LCQMC', warmup_ratio=0.1)
INFO:root:processing dataset...
WARNING:py.warnings:/cluster/home/it_stu116/.local/lib/python3.7/site-packages/gluonnlp/data/batchify/batchify.py:235: UserWarning: Padding value is not given and will be set automatically to 0 in data.batchify.Pad(). Please check whether this is intended (e.g. value of padding index in the vocabulary).
  'Padding value is not given and will be set automatically to 0 '

WARNING:py.warnings:/cluster/home/it_stu116/.local/lib/python3.7/site-packages/gluonnlp/data/sampler.py:352: UserWarning: Some buckets are empty and will be removed. Unused bucket keys=[116]
  str(unused_bucket_keys))

INFO:root:Now we are doing BERT classification training on cpu(0)!
[12:55:45] src/base.cc:49: GPU context requested, but no GPUs found.
INFO:root:[Epoch 1 Batch 430/7467] loss=0.2908, lr=0.0000029, metrics:accuracy:0.7858
INFO:root:[Epoch 1 Batch 440/7467] loss=0.3233, lr=0.0000029, metrics:accuracy:0.7877
INFO:root:[Epoch 1 Batch 450/7467] loss=0.2811, lr=0.0000030, metrics:accuracy:0.7904
INFO:root:[Epoch 1 Batch 460/7467] loss=0.3593, lr=0.0000031, metrics:accuracy:0.7916
INFO:root:[Epoch 1 Batch 470/7467] loss=0.3082, lr=0.0000031, metrics:accuracy:0.7936
INFO:root:[Epoch 1 Batch 480/7467] loss=0.2962, lr=0.0000032, metrics:accuracy:0.7955
INFO:root:[Epoch 1 Batch 490/7467] loss=0.2852, lr=0.0000033, metrics:accuracy:0.7973
INFO:root:[Epoch 1 Batch 500/7467] loss=0.3057, lr=0.0000033, metrics:accuracy:0.7990
INFO:root:[Epoch 1 Batch 510/7467] loss=0.2189, lr=0.0000034, metrics:accuracy:0.8012
INFO:root:[Epoch 1 Batch 520/7467] loss=0.2783, lr=0.0000035, metrics:accuracy:0.8029
INFO:root:[Epoch 1 Batch 530/7467] loss=0.3030, lr=0.0000035, metrics:accuracy:0.8042
INFO:root:[Epoch 1 Batch 540/7467] loss=0.3278, lr=0.0000036, metrics:accuracy:0.8054
INFO:root:[Epoch 1 Batch 550/7467] loss=0.2868, lr=0.0000037, metrics:accuracy:0.8067
INFO:root:[Epoch 1 Batch 560/7467] loss=0.3536, lr=0.0000037, metrics:accuracy:0.8074
INFO:root:[Epoch 1 Batch 570/7467] loss=0.3079, lr=0.0000038, metrics:accuracy:0.8087
INFO:root:[Epoch 1 Batch 580/7467] loss=0.2702, lr=0.0000039, metrics:accuracy:0.8104
INFO:root:[Epoch 1 Batch 590/7467] loss=0.2866, lr=0.0000039, metrics:accuracy:0.8117
INFO:root:[Epoch 1 Batch 600/7467] loss=0.2704, lr=0.0000040, metrics:accuracy:0.8130
INFO:root:[Epoch 1 Batch 610/7467] loss=0.2502, lr=0.0000041, metrics:accuracy:0.8144
INFO:root:[Epoch 1 Batch 620/7467] loss=0.2755, lr=0.0000041, metrics:accuracy:0.8157
INFO:root:[Epoch 1 Batch 630/7467] loss=0.2809, lr=0.0000042, metrics:accuracy:0.8169
INFO:root:[Epoch 1 Batch 640/7467] loss=0.2319, lr=0.0000043, metrics:accuracy:0.8186
INFO:root:[Epoch 1 Batch 650/7467] loss=0.3447, lr=0.0000043, metrics:accuracy:0.8190
INFO:root:[Epoch 1 Batch 660/7467] loss=0.2731, lr=0.0000044, metrics:accuracy:0.8202
INFO:root:[Epoch 1 Batch 670/7467] loss=0.2873, lr=0.0000045, metrics:accuracy:0.8212
INFO:root:[Epoch 1 Batch 680/7467] loss=0.2970, lr=0.0000046, metrics:accuracy:0.8223
INFO:root:[Epoch 1 Batch 690/7467] loss=0.3400, lr=0.0000046, metrics:accuracy:0.8228
INFO:root:[Epoch 1 Batch 700/7467] loss=0.2929, lr=0.0000047, metrics:accuracy:0.8234
INFO:root:[Epoch 1 Batch 710/7467] loss=0.3445, lr=0.0000048, metrics:accuracy:0.8237
INFO:root:[Epoch 1 Batch 720/7467] loss=0.2679, lr=0.0000048, metrics:accuracy:0.8246
INFO:root:[Epoch 1 Batch 730/7467] loss=0.2341, lr=0.0000049, metrics:accuracy:0.8258
INFO:root:[Epoch 1 Batch 740/7467] loss=0.2119, lr=0.0000050, metrics:accuracy:0.8270
INFO:root:[Epoch 1 Batch 750/7467] loss=0.2768, lr=0.0000050, metrics:accuracy:0.8278
INFO:root:[Epoch 1 Batch 760/7467] loss=0.2338, lr=0.0000051, metrics:accuracy:0.8288
INFO:root:[Epoch 1 Batch 770/7467] loss=0.3037, lr=0.0000052, metrics:accuracy:0.8295
INFO:root:[Epoch 1 Batch 780/7467] loss=0.2995, lr=0.0000052, metrics:accuracy:0.8299
INFO:root:[Epoch 1 Batch 790/7467] loss=0.2812, lr=0.0000053, metrics:accuracy:0.8306
INFO:root:[Epoch 1 Batch 800/7467] loss=0.3011, lr=0.0000054, metrics:accuracy:0.8312
INFO:root:[Epoch 1 Batch 810/7467] loss=0.2458, lr=0.0000054, metrics:accuracy:0.8321
INFO:root:[Epoch 1 Batch 820/7467] loss=0.2772, lr=0.0000055, metrics:accuracy:0.8327
INFO:root:[Epoch 1 Batch 830/7467] loss=0.2618, lr=0.0000056, metrics:accuracy:0.8334
INFO:root:[Epoch 1 Batch 840/7467] loss=0.2769, lr=0.0000056, metrics:accuracy:0.8341
INFO:root:[Epoch 1 Batch 850/7467] loss=0.2537, lr=0.0000057, metrics:accuracy:0.8348
INFO:root:[Epoch 1 Batch 860/7467] loss=0.2693, lr=0.0000058, metrics:accuracy:0.8355
INFO:root:[Epoch 1 Batch 870/7467] loss=0.2913, lr=0.0000058, metrics:accuracy:0.8360
INFO:root:[Epoch 1 Batch 880/7467] loss=0.3127, lr=0.0000059, metrics:accuracy:0.8363
INFO:root:[Epoch 1 Batch 890/7467] loss=0.2550, lr=0.0000060, metrics:accuracy:0.8370
INFO:root:[Epoch 1 Batch 900/7467] loss=0.2850, lr=0.0000060, metrics:accuracy:0.8373
INFO:root:[Epoch 1 Batch 910/7467] loss=0.2381, lr=0.0000061, metrics:accuracy:0.8381
INFO:root:[Epoch 1 Batch 920/7467] loss=0.3052, lr=0.0000062, metrics:accuracy:0.8384
INFO:root:[Epoch 1 Batch 930/7467] loss=0.3411, lr=0.0000062, metrics:accuracy:0.8386
INFO:root:[Epoch 1 Batch 940/7467] loss=0.2719, lr=0.0000063, metrics:accuracy:0.8391
INFO:root:[Epoch 1 Batch 950/7467] loss=0.2202, lr=0.0000064, metrics:accuracy:0.8399
INFO:root:[Epoch 1 Batch 960/7467] loss=0.2776, lr=0.0000064, metrics:accuracy:0.8404
INFO:root:[Epoch 1 Batch 970/7467] loss=0.2155, lr=0.0000065, metrics:accuracy:0.8411
INFO:root:[Epoch 1 Batch 980/7467] loss=0.2362, lr=0.0000066, metrics:accuracy:0.8417
INFO:root:[Epoch 1 Batch 990/7467] loss=0.2295, lr=0.0000066, metrics:accuracy:0.8425
INFO:root:[Epoch 1 Batch 1000/7467] loss=0.2536, lr=0.0000067, metrics:accuracy:0.8430
INFO:root:[Epoch 1 Batch 1010/7467] loss=0.2320, lr=0.0000068, metrics:accuracy:0.8437
INFO:root:[Epoch 1 Batch 1020/7467] loss=0.3016, lr=0.0000068, metrics:accuracy:0.8440
INFO:root:[Epoch 1 Batch 1030/7467] loss=0.3025, lr=0.0000069, metrics:accuracy:0.8442
INFO:root:[Epoch 1 Batch 1040/7467] loss=0.2431, lr=0.0000070, metrics:accuracy:0.8448
INFO:root:[Epoch 1 Batch 1050/7467] loss=0.2348, lr=0.0000070, metrics:accuracy:0.8455
INFO:root:[Epoch 1 Batch 1060/7467] loss=0.2691, lr=0.0000071, metrics:accuracy:0.8461
INFO:root:[Epoch 1 Batch 1070/7467] loss=0.2961, lr=0.0000072, metrics:accuracy:0.8463
INFO:root:[Epoch 1 Batch 1080/7467] loss=0.3196, lr=0.0000072, metrics:accuracy:0.8464
INFO:root:[Epoch 1 Batch 1090/7467] loss=0.2286, lr=0.0000073, metrics:accuracy:0.8470
INFO:root:[Epoch 1 Batch 1100/7467] loss=0.2309, lr=0.0000074, metrics:accuracy:0.8476
INFO:root:[Epoch 1 Batch 1110/7467] loss=0.2956, lr=0.0000074, metrics:accuracy:0.8479
INFO:root:[Epoch 1 Batch 1120/7467] loss=0.2554, lr=0.0000075, metrics:accuracy:0.8483
INFO:root:[Epoch 1 Batch 1130/7467] loss=0.2749, lr=0.0000076, metrics:accuracy:0.8487
INFO:root:[Epoch 1 Batch 1140/7467] loss=0.3017, lr=0.0000076, metrics:accuracy:0.8488
INFO:root:[Epoch 1 Batch 1150/7467] loss=0.2707, lr=0.0000077, metrics:accuracy:0.8489
INFO:root:[Epoch 1 Batch 1160/7467] loss=0.2146, lr=0.0000078, metrics:accuracy:0.8495
INFO:root:[Epoch 1 Batch 1170/7467] loss=0.2472, lr=0.0000078, metrics:accuracy:0.8499
INFO:root:[Epoch 1 Batch 1180/7467] loss=0.2175, lr=0.0000079, metrics:accuracy:0.8504
INFO:root:[Epoch 1 Batch 1190/7467] loss=0.2461, lr=0.0000080, metrics:accuracy:0.8508
INFO:root:[Epoch 1 Batch 1200/7467] loss=0.2958, lr=0.0000080, metrics:accuracy:0.8509
INFO:root:[Epoch 1 Batch 1210/7467] loss=0.2927, lr=0.0000081, metrics:accuracy:0.8511
INFO:root:[Epoch 1 Batch 1220/7467] loss=0.2229, lr=0.0000082, metrics:accuracy:0.8516
INFO:root:[Epoch 1 Batch 1230/7467] loss=0.2866, lr=0.0000082, metrics:accuracy:0.8518
INFO:root:[Epoch 1 Batch 1240/7467] loss=0.2598, lr=0.0000083, metrics:accuracy:0.8520
INFO:root:[Epoch 1 Batch 1250/7467] loss=0.2371, lr=0.0000084, metrics:accuracy:0.8524
INFO:root:[Epoch 1 Batch 1260/7467] loss=0.2843, lr=0.0000084, metrics:accuracy:0.8527
INFO:root:[Epoch 1 Batch 1270/7467] loss=0.2283, lr=0.0000085, metrics:accuracy:0.8531
INFO:root:[Epoch 1 Batch 1280/7467] loss=0.2476, lr=0.0000086, metrics:accuracy:0.8535
INFO:root:[Epoch 1 Batch 1290/7467] loss=0.2957, lr=0.0000086, metrics:accuracy:0.8537
INFO:root:[Epoch 1 Batch 1300/7467] loss=0.2866, lr=0.0000087, metrics:accuracy:0.8540
INFO:root:[Epoch 1 Batch 1310/7467] loss=0.2833, lr=0.0000088, metrics:accuracy:0.8540
INFO:root:[Epoch 1 Batch 1320/7467] loss=0.4307, lr=0.0000088, metrics:accuracy:0.8540
INFO:root:[Epoch 1 Batch 1330/7467] loss=0.2331, lr=0.0000089, metrics:accuracy:0.8543
INFO:root:[Epoch 1 Batch 1340/7467] loss=0.2587, lr=0.0000090, metrics:accuracy:0.8546
INFO:root:[Epoch 1 Batch 1350/7467] loss=0.2390, lr=0.0000090, metrics:accuracy:0.8549
INFO:root:[Epoch 1 Batch 1360/7467] loss=0.2050, lr=0.0000091, metrics:accuracy:0.8554
INFO:root:[Epoch 1 Batch 1370/7467] loss=0.1958, lr=0.0000092, metrics:accuracy:0.8558
INFO:root:[Epoch 1 Batch 1380/7467] loss=0.2552, lr=0.0000092, metrics:accuracy:0.8562
INFO:root:[Epoch 1 Batch 1390/7467] loss=0.2302, lr=0.0000093, metrics:accuracy:0.8566
INFO:root:[Epoch 1 Batch 1400/7467] loss=0.2915, lr=0.0000094, metrics:accuracy:0.8569
INFO:root:[Epoch 1 Batch 1410/7467] loss=0.2686, lr=0.0000094, metrics:accuracy:0.8572
INFO:root:[Epoch 1 Batch 1420/7467] loss=0.2739, lr=0.0000095, metrics:accuracy:0.8575
INFO:root:[Epoch 1 Batch 1430/7467] loss=0.2146, lr=0.0000096, metrics:accuracy:0.8578
INFO:root:[Epoch 1 Batch 1440/7467] loss=0.2597, lr=0.0000096, metrics:accuracy:0.8581
INFO:root:[Epoch 1 Batch 1450/7467] loss=0.2684, lr=0.0000097, metrics:accuracy:0.8584
INFO:root:[Epoch 1 Batch 1460/7467] loss=0.2672, lr=0.0000098, metrics:accuracy:0.8587
INFO:root:[Epoch 1 Batch 1470/7467] loss=0.3204, lr=0.0000098, metrics:accuracy:0.8587
INFO:root:[Epoch 1 Batch 1480/7467] loss=0.2578, lr=0.0000099, metrics:accuracy:0.8590
INFO:root:[Epoch 1 Batch 1490/7467] loss=0.2909, lr=0.0000100, metrics:accuracy:0.8592
INFO:root:[Epoch 1 Batch 1500/7467] loss=0.2523, lr=0.0000100, metrics:accuracy:0.8595
INFO:root:[Epoch 1 Batch 1510/7467] loss=0.2030, lr=0.0000101, metrics:accuracy:0.8598
INFO:root:[Epoch 1 Batch 1520/7467] loss=0.2683, lr=0.0000102, metrics:accuracy:0.8600
INFO:root:[Epoch 1 Batch 1530/7467] loss=0.1865, lr=0.0000102, metrics:accuracy:0.8605
INFO:root:[Epoch 1 Batch 1540/7467] loss=0.2783, lr=0.0000103, metrics:accuracy:0.8606
INFO:root:[Epoch 1 Batch 1550/7467] loss=0.2952, lr=0.0000104, metrics:accuracy:0.8607
INFO:root:[Epoch 1 Batch 1560/7467] loss=0.2411, lr=0.0000104, metrics:accuracy:0.8610
INFO:root:[Epoch 1 Batch 1570/7467] loss=0.2227, lr=0.0000105, metrics:accuracy:0.8613
INFO:root:[Epoch 1 Batch 1580/7467] loss=0.1924, lr=0.0000106, metrics:accuracy:0.8616
INFO:root:[Epoch 1 Batch 1590/7467] loss=0.2609, lr=0.0000107, metrics:accuracy:0.8619
INFO:root:[Epoch 1 Batch 1600/7467] loss=0.2926, lr=0.0000107, metrics:accuracy:0.8620
INFO:root:[Epoch 1 Batch 1610/7467] loss=0.2421, lr=0.0000108, metrics:accuracy:0.8623
INFO:root:[Epoch 1 Batch 1620/7467] loss=0.2434, lr=0.0000109, metrics:accuracy:0.8626
INFO:root:[Epoch 1 Batch 1630/7467] loss=0.2582, lr=0.0000109, metrics:accuracy:0.8627
INFO:root:[Epoch 1 Batch 1640/7467] loss=0.2311, lr=0.0000110, metrics:accuracy:0.8630
INFO:root:[Epoch 1 Batch 1650/7467] loss=0.2211, lr=0.0000111, metrics:accuracy:0.8633
INFO:root:[Epoch 1 Batch 1660/7467] loss=0.2318, lr=0.0000111, metrics:accuracy:0.8636
INFO:root:[Epoch 1 Batch 1670/7467] loss=0.3158, lr=0.0000112, metrics:accuracy:0.8636
INFO:root:[Epoch 1 Batch 1680/7467] loss=0.2604, lr=0.0000113, metrics:accuracy:0.8637
INFO:root:[Epoch 1 Batch 1690/7467] loss=0.2137, lr=0.0000113, metrics:accuracy:0.8639
INFO:root:[Epoch 1 Batch 1700/7467] loss=0.2597, lr=0.0000114, metrics:accuracy:0.8641
INFO:root:[Epoch 1 Batch 1710/7467] loss=0.2828, lr=0.0000115, metrics:accuracy:0.8642
INFO:root:[Epoch 1 Batch 1720/7467] loss=0.2233, lr=0.0000115, metrics:accuracy:0.8645
INFO:root:[Epoch 1 Batch 1730/7467] loss=0.2140, lr=0.0000116, metrics:accuracy:0.8649
INFO:root:[Epoch 1 Batch 1740/7467] loss=0.2409, lr=0.0000117, metrics:accuracy:0.8651
INFO:root:[Epoch 1 Batch 1750/7467] loss=0.2582, lr=0.0000117, metrics:accuracy:0.8653
INFO:root:[Epoch 1 Batch 1760/7467] loss=0.2145, lr=0.0000118, metrics:accuracy:0.8656
INFO:root:[Epoch 1 Batch 1770/7467] loss=0.2897, lr=0.0000119, metrics:accuracy:0.8658
INFO:root:[Epoch 1 Batch 1780/7467] loss=0.2785, lr=0.0000119, metrics:accuracy:0.8659
INFO:root:[Epoch 1 Batch 1790/7467] loss=0.2782, lr=0.0000120, metrics:accuracy:0.8661
INFO:root:[Epoch 1 Batch 1800/7467] loss=0.2373, lr=0.0000121, metrics:accuracy:0.8663
INFO:root:[Epoch 1 Batch 1810/7467] loss=0.2388, lr=0.0000121, metrics:accuracy:0.8667
INFO:root:[Epoch 1 Batch 1820/7467] loss=0.2596, lr=0.0000122, metrics:accuracy:0.8670
INFO:root:[Epoch 1 Batch 1830/7467] loss=0.2072, lr=0.0000123, metrics:accuracy:0.8672
INFO:root:[Epoch 1 Batch 1840/7467] loss=0.2659, lr=0.0000123, metrics:accuracy:0.8674
INFO:root:[Epoch 1 Batch 1850/7467] loss=0.2820, lr=0.0000124, metrics:accuracy:0.8675
INFO:root:[Epoch 1 Batch 1860/7467] loss=0.2701, lr=0.0000125, metrics:accuracy:0.8676
INFO:root:[Epoch 1 Batch 1870/7467] loss=0.1938, lr=0.0000125, metrics:accuracy:0.8677
INFO:root:[Epoch 1 Batch 1880/7467] loss=0.2406, lr=0.0000126, metrics:accuracy:0.8680
INFO:root:[Epoch 1 Batch 1890/7467] loss=0.2204, lr=0.0000127, metrics:accuracy:0.8683
INFO:root:[Epoch 1 Batch 1900/7467] loss=0.3030, lr=0.0000127, metrics:accuracy:0.8683
INFO:root:[Epoch 1 Batch 1910/7467] loss=0.2110, lr=0.0000128, metrics:accuracy:0.8686
INFO:root:[Epoch 1 Batch 1920/7467] loss=0.2555, lr=0.0000129, metrics:accuracy:0.8687
INFO:root:[Epoch 1 Batch 1930/7467] loss=0.2559, lr=0.0000129, metrics:accuracy:0.8690
INFO:root:[Epoch 1 Batch 1940/7467] loss=0.2467, lr=0.0000130, metrics:accuracy:0.8691
INFO:root:[Epoch 1 Batch 1950/7467] loss=0.2565, lr=0.0000131, metrics:accuracy:0.8692
INFO:root:[Epoch 1 Batch 1960/7467] loss=0.2435, lr=0.0000131, metrics:accuracy:0.8694
INFO:root:[Epoch 1 Batch 1970/7467] loss=0.2571, lr=0.0000132, metrics:accuracy:0.8694
INFO:root:[Epoch 1 Batch 1980/7467] loss=0.2734, lr=0.0000133, metrics:accuracy:0.8694
INFO:root:[Epoch 1 Batch 1990/7467] loss=0.2707, lr=0.0000133, metrics:accuracy:0.8696
INFO:root:[Epoch 1 Batch 2000/7467] loss=0.2375, lr=0.0000134, metrics:accuracy:0.8697
INFO:root:[Epoch 1 Batch 2010/7467] loss=0.2029, lr=0.0000135, metrics:accuracy:0.8700
INFO:root:[Epoch 1 Batch 2020/7467] loss=0.2487, lr=0.0000135, metrics:accuracy:0.8701
INFO:root:[Epoch 1 Batch 2030/7467] loss=0.2186, lr=0.0000136, metrics:accuracy:0.8702
INFO:root:[Epoch 1 Batch 2040/7467] loss=0.2486, lr=0.0000137, metrics:accuracy:0.8704
INFO:root:[Epoch 1 Batch 2050/7467] loss=0.2687, lr=0.0000137, metrics:accuracy:0.8705
INFO:root:[Epoch 1 Batch 2060/7467] loss=0.2282, lr=0.0000138, metrics:accuracy:0.8707
INFO:root:[Epoch 1 Batch 2070/7467] loss=0.2995, lr=0.0000139, metrics:accuracy:0.8707
INFO:root:[Epoch 1 Batch 2080/7467] loss=0.1923, lr=0.0000139, metrics:accuracy:0.8710
INFO:root:[Epoch 1 Batch 2090/7467] loss=0.2199, lr=0.0000140, metrics:accuracy:0.8711
INFO:root:[Epoch 1 Batch 2100/7467] loss=0.1984, lr=0.0000141, metrics:accuracy:0.8714
INFO:root:[Epoch 1 Batch 2110/7467] loss=0.2040, lr=0.0000141, metrics:accuracy:0.8717
INFO:root:[Epoch 1 Batch 2120/7467] loss=0.1935, lr=0.0000142, metrics:accuracy:0.8720
INFO:root:[Epoch 1 Batch 2130/7467] loss=0.1867, lr=0.0000143, metrics:accuracy:0.8722
INFO:root:[Epoch 1 Batch 2140/7467] loss=0.2282, lr=0.0000143, metrics:accuracy:0.8724
INFO:root:[Epoch 1 Batch 2150/7467] loss=0.2116, lr=0.0000144, metrics:accuracy:0.8727
INFO:root:[Epoch 1 Batch 2160/7467] loss=0.2229, lr=0.0000145, metrics:accuracy:0.8728
INFO:root:[Epoch 1 Batch 2170/7467] loss=0.2296, lr=0.0000145, metrics:accuracy:0.8730
INFO:root:[Epoch 1 Batch 2180/7467] loss=0.2207, lr=0.0000146, metrics:accuracy:0.8731
INFO:root:[Epoch 1 Batch 2190/7467] loss=0.2643, lr=0.0000147, metrics:accuracy:0.8732
INFO:root:[Epoch 1 Batch 2200/7467] loss=0.2330, lr=0.0000147, metrics:accuracy:0.8733
INFO:root:[Epoch 1 Batch 2210/7467] loss=0.2339, lr=0.0000148, metrics:accuracy:0.8734
INFO:root:[Epoch 1 Batch 2220/7467] loss=0.2166, lr=0.0000149, metrics:accuracy:0.8735
INFO:root:[Epoch 1 Batch 2230/7467] loss=0.2072, lr=0.0000149, metrics:accuracy:0.8737
INFO:root:[Epoch 1 Batch 2240/7467] loss=0.2045, lr=0.0000150, metrics:accuracy:0.8740
INFO:root:[Epoch 1 Batch 2250/7467] loss=0.2174, lr=0.0000151, metrics:accuracy:0.8742
INFO:root:[Epoch 1 Batch 2260/7467] loss=0.2774, lr=0.0000151, metrics:accuracy:0.8742
INFO:root:[Epoch 1 Batch 2270/7467] loss=0.2571, lr=0.0000152, metrics:accuracy:0.8744
INFO:root:[Epoch 1 Batch 2280/7467] loss=0.2350, lr=0.0000153, metrics:accuracy:0.8745
INFO:root:[Epoch 1 Batch 2290/7467] loss=0.2127, lr=0.0000153, metrics:accuracy:0.8748
INFO:root:[Epoch 1 Batch 2300/7467] loss=0.2386, lr=0.0000154, metrics:accuracy:0.8750
INFO:root:[Epoch 1 Batch 2310/7467] loss=0.2650, lr=0.0000155, metrics:accuracy:0.8750
INFO:root:[Epoch 1 Batch 2320/7467] loss=0.2531, lr=0.0000155, metrics:accuracy:0.8750
INFO:root:[Epoch 1 Batch 2330/7467] loss=0.2736, lr=0.0000156, metrics:accuracy:0.8751
INFO:root:[Epoch 1 Batch 2340/7467] loss=0.2567, lr=0.0000157, metrics:accuracy:0.8752
INFO:root:[Epoch 1 Batch 2350/7467] loss=0.2572, lr=0.0000157, metrics:accuracy:0.8752
INFO:root:[Epoch 1 Batch 2360/7467] loss=0.2049, lr=0.0000158, metrics:accuracy:0.8754
INFO:root:[Epoch 1 Batch 2370/7467] loss=0.2444, lr=0.0000159, metrics:accuracy:0.8755
